CountryID,Country_Name,Region,World_Rank,Region_Rank,2013_Score,Property_Rights,Freedom_from_Corruption,Fiscal_Freedom_,Govt_Spending,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Population_(Millions),GDP_(Billions_PPP),GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
35,Colombia,South and Central America / Caribbean,37,5,69.6,50,34,76.1,75.2,90.2,79.3,78.7,72.2,70,70,46.1,472,5.9,4.4,10249,10.9,3.4,13234.2,34.7
36,Comoros,Sub-Saharan Africa,157,39,47.5,30,24,64.7,82.4,44.7,51.2,74.6,68.8,15,20,0.7,0.8,2.2,1.5,1232,N/A,6.8,6.8,51.2
37,"Congo, Dem. Rep.",Sub-Saharan Africa,171,44,39.6,10,20,71.4,60.1,38.7,36.3,56.5,63,20,20,72.6,25.3,6.9,5.8,348,N/A,15.5,1686.9,32
38,"Congo, Rep.",Sub-Saharan Africa,167,42,43.5,10,22,61.4,80.3,31.5,44.8,74.3,60.7,20,30,4,18.3,4.5,4.9,4589,N/A,1.9,2930.9,22.2
39,Costa Rica,South and Central America / Caribbean,49,8,67,50,48,82.9,90.1,58.3,60.4,75.4,85.1,70,50,4.6,55,4.2,3.7,11927,7.7,4.9,2104.1,30.8
40,Cote d'Ivoire,Sub-Saharan Africa,126,24,54.1,25,22,77.9,79.8,43.3,54.6,77.8,70.3,40,50,22.7,36.1,-4.7,1,1590,N/A,4.9,344.2,90.5
41,Croatia,Europe,78,35,61.3,40,40,75.4,48.7,63,42.4,81.1,87.5,75,60,4.4,80.3,0,-0.1,18192,17.7,2.3,1494.1,45.6
42,Cuba,South and Central America / Caribbean,176,29,28.5,10,42,62.7,0,10,20,67.4,62.7,0,10,11.2,120.3,2.7,N/A,10704,N/A,4.7,110,35.4
43,Cyprus,Europe,41,19,69,70,63,79.8,32.7,80.7,62.8,84.1,81.8,75,60,0.8,23.7,0.5,1.7,29074,5.6,3.5,276.3,71.8
44,Czech Republic,Europe,29,15,70.9,70,44,82,43.5,65.8,85.5,81.7,86.8,70,80,10.5,285,1.7,1.6,27062,6.7,1.9,5404.5,41.5
45,Denmark,Europe,9,2,76.1,90,94,39.8,5.9,98.4,91.1,80,86.8,85,90,5.6,206.6,1.1,-0.6,37152,8,2.8,14770.8,46.4
46,Djibouti,Sub-Saharan Africa,127,25,53.9,30,30,79.4,48.8,30,59.6,76.6,59.6,65,60,0.8,2.2,4.5,4.8,2642,N/A,5.1,78,55.5
47,Dominica,South and Central America / Caribbean,64,12,63.9,60,52,72,50.1,77,68.8,85.3,74.3,70,30,0.1,1,0.5,2.3,13816,23,2.3,24.9,69.9
48,Dominican Republic,South and Central America / Caribbean,87,17,59.7,30,26,83.7,92.6,53.7,55.6,72.9,77.8,65,40,10.1,93.4,4.5,5.9,9287,14.6,8.5,2371.1,29.3
49,Ecuador,South and Central America / Caribbean,159,26,46.9,20,27,80.1,47.3,51.5,48,66.9,68.1,20,40,15,127.4,7.8,4.2,8492,4.9,4.5,567.8,18
50,Egypt,Middle East / North Africa,125,13,54.8,35,29,85.6,69.4,63.3,43.3,58.4,73.8,50,40,79.4,519,1.8,5.1,6540,12.2,11.1,-482.7,76.4
51,El Salvador,South and Central America / Caribbean,53,10,66.7,40,34,85.7,85.4,61.8,62,79.6,79,70,70,5.9,44.6,1.4,0.9,7550,7,3.6,385.5,50.8
52,Equatorial Guinea,Sub-Saharan Africa,170,43,42.3,15,19,75.4,39.3,44.4,43.1,72.8,58.8,25,30,1.4,26.1,7.1,8.6,19356,22.3,7.3,737.1,8.4
53,Eritrea,Sub-Saharan Africa,173,45,36.3,10,25,57,54.6,17.3,54.6,55.5,69.1,0,20,5.5,4,8.7,1.1,735,N/A,13.3,18.5,133.8
54,Estonia,Europe,13,4,75.3,85,64,79.7,56.2,78.2,56,77.1,86.8,90,80,1.3,27.3,7.6,-0.5,20380,10.1,5.1,257.1,6
55,Ethiopia,Sub-Saharan Africa,146,32,49.4,30,27,74.2,89.6,52.4,46.9,64.7,64,25,20,86.8,94.9,7.5,9.7,1093,N/A,18.1,206.1,37.3
56,Fiji,Asia-Pacific,105,18,57.2,25,20,78,78,65.7,74.9,72.8,68,40,50,0.9,4.1,2,0.1,4620,N/A,8.6,204.3,53.9
57,Finland,Europe,16,7,74,90,94,66.9,12.2,94.8,45.3,79.5,86.8,90,80,5.4,195.7,2.9,0.7,36236,7.9,3.3,53.8,48.6
58,France,Europe,62,30,64.1,80,70,53,5.6,84,50.5,81.1,81.8,65,70,63.1,2217.9,1.7,0.5,35156,10.6,2.3,40945,86.3
59,Gabon,Sub-Saharan Africa,99,14,57.8,40,30,74.2,80.1,56.5,63.1,77.5,61.1,55,40,1.5,24.6,5.8,3.7,16183,N/A,1.3,728,20.5
60,Gambia,Sub-Saharan Africa,92,11,58.8,30,35,75.1,82.7,59.5,59.3,71.1,60.5,65,50,1.8,3.5,3.3,5.2,1943,N/A,4.8,36,68.8
61,Georgia,Europe,21,11,72.2,45,41,88.2,68.9,90.6,91.1,72.6,89.2,75,60,4.5,24.5,7,4.7,5491,16.3,8.5,974.6,33.9
62,Germany,Europe,19,10,72.8,90,80,61.8,37.3,92.1,43.8,81.2,86.8,85,70,81.8,3099.1,3.1,1.1,37897,5.5,2.5,40402.1,81.5
63,Ghana,Sub-Saharan Africa,77,7,61.3,50,39,86,52.5,61.5,61.6,64.8,67.8,70,60,24.3,74.9,13.6,8,3083,N/A,8.7,3222.3,43.4
64,Greece,Europe,117,40,55.4,40,34,66.2,24.7,77.1,42.1,73.4,81.8,65,50,11.2,294.3,-6.9,-2.2,26294,24.4,3.1,1822.9,160.8
65,Guatemala,South and Central America / Caribbean,85,16,60,30,27,79.6,93.6,50.8,48.7,75.5,85.2,60,50,14.7,74.7,3.8,3.3,5070,4.1,6.2,984.6,24.1
66,Guinea,Sub-Saharan Africa,137,29,51.2,20,21,69.6,82.6,46.1,63.8,62.8,61.2,45,40,10.6,11.5,3.6,2.4,1083,N/A,21.5,1210.8,72.2
67,Guinea-Bissau,Sub-Saharan Africa,138,30,51.1,20,22,89.1,82,41.3,54,72.7,65.3,35,30,1.7,1.9,5.3,3.6,1144,N/A,5,19.4,45.2
68,Guyana,South and Central America / Caribbean,129,22,53.8,30,25,67.9,61.1,66.3,75.4,75.9,71.2,35,30,0.8,5.8,4.2,4.2,7466,11,5.7,165.3,61.8
69,Haiti,South and Central America / Caribbean,152,24,48.1,10,18,80.7,66.3,33.4,63.6,74.2,74.8,30,30,10,12.4,5.6,1.4,1235,40.6,7.4,181,10.6
70,Honduras,South and Central America / Caribbean,96,18,58.4,30,26,85.3,79.2,61,26.8,73.9,77.1,65,60,8.2,35.7,3.6,2.9,4345,5.1,6.8,1014.4,28.1
71,Hong Kong,Asia-Pacific,1,1,89.3,90,84,92.9,88.9,98.9,86.2,82.1,90,90,90,7.1,351.1,5,3.6,49137,3.4,5.3,83155.6,33.9
72,Hungary,Europe,48,24,67.3,65,46,79.7,29.7,79.1,64.4,77.1,86.8,75,70,10,195.6,1.7,-0.6,19591,10.7,3.9,4697.6,80.4
