CountryID,Country_Name,Region,World_Rank,Region_Rank,2013_Score,Property_Rights,Freedom_from_Corruption,Fiscal_Freedom_,Govt_Spending,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Population_(Millions),GDP_(Billions_PPP),GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
151,South Africa,Sub-Saharan Africa,74,6,61.8,50,41,70.5,69.2,74.7,55.6,75.8,76.3,45,60,50.6,555.1,3.1,2.7,10973,24.9,5,5807.4,38.8
152,Spain,Europe,46,22,68,70,62,53.9,43,80.3,54.3,79.9,86.8,80,70,46.2,1413.5,0.7,0.2,30626,25.1,3.1,29476.3,68.5
153,Sri Lanka,Asia-Pacific,81,13,60.7,40,33,84.7,86.5,77,60.8,69.1,76.2,40,40,20.5,116.5,8.2,6.5,5674,4.2,6.7,300,78.5
155,Suriname,South and Central America / Caribbean,135,23,52,40,30,71.6,72.5,40.2,77.5,66.7,66.3,25,30,0.5,5.1,4.5,3.1,9475,9,17.7,-585.2,20.6
156,Swaziland,Sub-Saharan Africa,104,16,57.2,40,31,74.4,51.3,66,70.3,74.7,69.7,55,40,1.2,6.2,0.3,1.9,5302,40,6.1,94.8,17.5
157,Sweden,Europe,18,9,72.9,90,93,39.6,21,93.2,53.6,82.1,86.8,90,80,9.5,381.7,4,1.5,40394,7.8,1.4,12090.6,37.4
158,Switzerland,Europe,5,1,81,90,88,68.1,63.8,75.8,87.9,86.2,90,80,80,7.8,339.9,1.9,1.7,43370,4.2,0.2,-196.5,48.6
160,Taiwan,Asia-Pacific,20,5,72.7,70,61,80.5,84.9,94.3,53.3,82.9,85,65,50,23.2,876,4,3.8,37720,4.4,1.4,-1962,40.8
161,Tajikistan,Asia-Pacific,131,27,53.4,20,23,92.8,78.1,61.7,55.5,64.6,78.2,20,40,7.8,16.2,7.4,6.6,2067,2.2,12.4,11.1,35.3
162,Tanzania,Sub-Saharan Africa,98,13,57.9,30,30,79.9,77.9,48.6,61.9,71.8,73.5,55,50,42.2,63.9,6.7,6.8,1515,N/A,7,1095.4,44.4
163,Thailand,Asia-Pacific,61,10,64.1,45,34,78.9,83.7,73.2,72.9,68.3,75.2,40,70,64.1,602.1,0.1,2.6,9396,0.7,3.8,9572,41.7
164,Timor-Leste,Asia-Pacific,166,38,43.7,20,24,64.7,0,44.8,81.2,69.3,73,40,20,1.1,9.5,10.6,11.8,8701,18.4,13.5,20,0
165,Togo,Sub-Saharan Africa,150,35,48.8,30,24,68.5,81.6,39.9,44.2,78.5,56.7,35,30,7.1,6.4,4.1,3.2,899,N/A,3.6,53.8,30.8
166,Tonga,Asia-Pacific,112,22,56,20,31,87.1,64.7,76.6,84.4,71.1,75.6,30,20,0.1,0.8,1.5,0.4,7344,N/A,5.3,10.4,42.8
167,Trinidad and Tobago,South and Central America / Caribbean,72,14,62.3,50,32,84.9,60.4,55.1,76.7,73.7,69.9,60,60,1.3,26.5,-1.3,0.5,20053,6.4,5.1,574,32.4
168,Tunisia,Middle East / North Africa,107,11,57,40,38,74.5,63.7,82.8,70.1,77.8,58.1,35,30,10.7,101,-0.8,3.2,9478,18,3.5,1142.9,42.4
169,Turkey,Europe,69,32,62.9,50,42,77,64.9,68.2,43.1,73.3,85.2,65,60,74,1073.6,8.5,3.5,14517,11.7,6.5,15876,39.4
170,Turkmenistan,Asia-Pacific,169,39,42.6,5,16,94,91.7,30,30,70.6,79.2,0,10,5.5,43.4,14.7,11.1,7846,N/A,5.8,3186,15.4
171,Uganda,Sub-Saharan Africa,79,8,61.1,30,24,80.6,84.3,48.4,87.9,77.2,73.6,55,50,35.2,46.4,6.7,7.4,1317,N/A,6.5,792.3,29.2
172,Ukraine,Europe,161,43,46.3,30,23,78.2,29.4,47.6,49.9,71,84.4,20,30,45.6,329.5,5.2,0.6,7233,8.4,8,7207,36.5
173,United Arab Emirates,Middle East / North Africa,28,3,71.1,55,68,99.9,85.1,74,77.6,83.9,82.6,35,50,5.4,258.8,4.9,2.8,48158,12.9,0.9,7679,16.9
174,United Kingdom,Europe,14,5,74.8,90,78,57,27.7,94.1,71.6,72.4,86.8,90,80,62.6,2260.8,0.7,0.1,36090,8,4.5,53949.3,82.5
175,United States,North America,10,2,76,85,71,69.3,47.8,90.5,95.5,75,86.4,70,70,311.9,15094,1.7,0.5,48387,7.9,3.1,226937,102.9
176,Uruguay,South and Central America / Caribbean,36,4,69.7,70,70,84.2,68.3,73.4,70.7,72.5,82.9,75,30,3.4,50.9,5.7,6.1,15113,6,8.1,2191.2,54.2
177,Uzbekistan,Asia-Pacific,162,35,46,15,16,90.2,67.8,71.2,61,63,66.1,0,10,28.8,95.2,8.3,8.7,3302,1,12.8,1403,9.1
178,Vanuatu,Asia-Pacific,109,21,56.6,40,35,97.3,80.5,56.4,57.7,81.4,48,30,40,0.2,1.2,3.3,4.3,4916,N/A,1.2,58.2,20
179,Venezuela,South and Central America / Caribbean,174,28,36.1,5,19,75.6,50.6,45.6,34.5,47.3,58.8,5,20,29.8,374.1,4.2,2.6,12568,8.2,26.1,5302,45.5
180,Vietnam,Asia-Pacific,140,30,51,15,29,75.6,72.4,63.8,65.5,65.3,78.6,15,30,89.3,300,5.9,6.5,3359,2.3,18.7,7430,38
181,Yemen,Middle East / North Africa,113,12,55.9,30,21,91.5,72.8,61.3,55.3,65.7,81.5,50,30,25.1,58,-10.5,1.4,2307,N/A,17.6,-712.8,42.5
182,Zambia,Sub-Saharan Africa,93,12,58.7,30,32,72.9,80.3,60.4,58.4,66,82.3,55,50,13.6,21.9,6.6,6.5,1611,14,8.7,1981.7,26.1
183,Zimbabwe,Sub-Saharan Africa,175,46,28.6,10,22,71.8,66.4,33.4,21.9,0,50.4,0,10,12.6,6.1,9.3,-0.1,487,95,3.5,387,70.3
