date,type,wavg_score
2015/02/21,adt,967.8742652733525
2015/02/21,alc,989.3646732302269
2015/02/21,arf,959.9243408520161
2015/02/21,dlm,994.0250420479214
2015/02/21,dlmplus,995.1266962454778
2015/02/21,drg,984.6852085687002
2015/02/21,fel,931.4531705320464
2015/02/21,hat,991.7215520382168
2015/02/21,off,995.4195109292411
2015/02/21,par,942.9978435724294
2015/02/21,pol,961.9174131047089
2015/02/21,pro,852.030043858439
2015/02/21,rsa,940.5297331590941
2015/02/21,sam,945.835638498521
2015/02/21,trq,599.8238207947926
2015/02/21,zult,985.7085785088972
2015/02/22,adt,968.0358934743766
2015/02/22,alc,988.9421059778294
2015/02/22,arf,962.9812451097804
2015/02/22,dlm,994.0664733182236
2015/02/22,dlmplus,995.1906338441873
2015/02/22,drg,984.4824995155844
2015/02/22,fel,932.5193722731824
2015/02/22,hat,991.1242694274603
2015/02/22,off,995.0864229928268
2015/02/22,par,942.5788725565279
2015/02/22,pol,960.111318692414
2015/02/22,pro,860.2468156025832
2015/02/22,rsa,942.3037246656231
2015/02/22,sam,953.4972136582871
2015/02/22,trq,608.4433792838649
2015/02/22,zult,985.1158077591176
2015/02/23,adt,964.9464185632056
2015/02/23,alc,986.9940277408458
2015/02/23,arf,961.6328774384851
2015/02/23,dlm,994.5547481983579
2015/02/23,dlmplus,995.6186914045521
2015/02/23,drg,981.4980254582317
2015/02/23,fel,926.1420393334175
2015/02/23,hat,989.0953887950515
2015/02/23,off,995.0103882023187
2015/02/23,par,943.6208951113064
2015/02/23,pol,958.5993970159104
2015/02/23,pro,865.2674301264193
2015/02/23,rsa,953.9538406240954
2015/02/23,sam,960.1517031956956
2015/02/23,trq,614.340253922566
2015/02/23,zult,988.331399234574
2015/02/24,adt,953.1420643803226
2015/02/24,alc,985.3464408182764
2015/02/24,arf,963.7242765504395
2015/02/24,dlm,994.3077734572886
2015/02/24,dlmplus,995.4322647481102
2015/02/24,drg,973.5587818202388
2015/02/24,fel,919.2384654707428
2015/02/24,hat,986.9188052105968
2015/02/24,off,989.7348752708978
2015/02/24,par,947.2090464809859
2015/02/24,pol,951.3444127823572
2015/02/24,pro,867.0327458437413
2015/02/24,rsa,953.9473044340954
2015/02/24,sam,961.9276331588617
2015/02/24,trq,609.2238906112274
2015/02/24,zult,988.6009014308523
2015/02/25,adt,964.7044225631632
2015/02/25,alc,985.8791485322512
2015/02/25,arf,960.5296884114373
2015/02/25,dlm,994.1000384612869
2015/02/25,dlmplus,995.2091609960758
2015/02/25,drg,981.0219399236646
2015/02/25,fel,926.3124991744293
2015/02/25,hat,988.7597801053756
2015/02/25,off,994.8792828290439
2015/02/25,par,945.0538758125923
2015/02/25,pol,958.6298067396567
2015/02/25,pro,864.9618053815076
2015/02/25,rsa,948.8093699833795
2015/02/25,sam,957.9341826421498
2015/02/25,trq,606.9800518889357
2015/02/25,zult,988.1564423500737
2015/02/26,adt,964.861598617108
2015/02/26,alc,987.0525776497807
2015/02/26,arf,961.4698509670872
2015/02/26,dlm,993.5762829892003
2015/02/26,dlmplus,994.9665230039741
2015/02/26,drg,981.955554462831
2015/02/26,fel,928.1437051127865
2015/02/26,hat,989.4356534159313
2015/02/26,off,994.9512525101366
2015/02/26,par,944.9391358521394
2015/02/26,pol,958.7197349773303
2015/02/26,pro,863.7210624826001
2015/02/26,rsa,952.0019295707144
2015/02/26,sam,960.5855137926595
2015/02/26,trq,609.2101121731058
2015/02/26,zult,987.6201482650737
2015/02/27,adt,966.1015170213216
2015/02/27,alc,986.5458478421531
2015/02/27,arf,962.9683629775003
2015/02/27,dlm,993.6832782457003
2015/02/27,dlmplus,994.8818798974863
2015/02/27,drg,981.0570657908288
2015/02/27,fel,926.5359814789563
2015/02/27,hat,989.0795521085419
2015/02/27,off,994.6717381555318
2015/02/27,par,947.2239871173139
2015/02/27,pol,956.8431443576984
2015/02/27,pro,866.9591985824383
2015/02/27,rsa,954.1817719128092
2015/02/27,sam,952.3095472006355
2015/02/27,trq,610.5532509669588
2015/02/27,zult,989.0401786685456
2015/02/28,adt,968.4557332044695
2015/02/28,alc,988.34556138921
2015/02/28,arf,963.7738606562033
2015/02/28,dlm,992.8935959488016
2015/02/28,dlmplus,994.2274057076215
2015/02/28,drg,984.2394107191551
2015/02/28,fel,930.1182723976355
2015/02/28,hat,990.8838220638812
2015/02/28,off,995.4055288055868
2015/02/28,par,947.0951378159826
2015/02/28,pol,959.7437652858858
2015/02/28,pro,853.8762081021227
2015/02/28,rsa,955.6661176716177
2015/02/28,sam,948.3241644725454
2015/02/28,trq,602.2200912309911
2015/02/28,zult,983.2780569380434
2015/03/01,adt,968.0822288628458
2015/03/01,alc,988.8988884601392
2015/03/01,arf,966.1833920325917
2015/03/01,dlm,993.9633249923032
2015/03/01,dlmplus,995.2646377878201
2015/03/01,drg,983.9619630962977
2015/03/01,fel,931.3500959597553
2015/03/01,hat,990.5521834024174
2015/03/01,off,994.0238654624799
2015/03/01,par,947.02059823381
2015/03/01,pol,961.0588249892239
2015/03/01,pro,856.8884812824929
2015/03/01,rsa,950.0336577972851
2015/03/01,sam,949.944081079583
2015/03/01,trq,602.381640429917
2015/03/01,zult,982.128983476457
2015/03/02,adt,966.5979464226302
2015/03/02,alc,988.3606211020698
2015/03/02,arf,965.5088533395285
2015/03/02,dlm,994.3482868126378
2015/03/02,dlmplus,995.4178578783107
2015/03/02,drg,982.1913879052779
2015/03/02,fel,927.7797860622767
2015/03/02,hat,989.8664115696772
2015/03/02,off,994.0183423549705
2015/03/02,par,947.1705613283546
2015/03/02,pol,958.9284818067937
2015/03/02,pro,865.883723714292
2015/03/02,rsa,953.5304170641906
2015/03/02,sam,951.4955654012739
2015/03/02,trq,608.5696139938857
2015/03/02,zult,987.4762371829713
2015/03/03,adt,965.9587684703837
2015/03/03,alc,988.740235190366
2015/03/03,arf,965.6235092617742
2015/03/03,dlm,993.5879205960144
2015/03/03,dlmplus,994.9074732399733
2015/03/03,drg,981.8501411560186
2015/03/03,fel,925.479123638767
2015/03/03,hat,990.0846183878849
2015/03/03,off,994.5123080796673
2015/03/03,par,944.0759488806851
2015/03/03,pol,956.2401595118292
2015/03/03,pro,870.4307809902018
2015/03/03,rsa,951.297042691905
2015/03/03,sam,951.3220452266486
2015/03/03,trq,605.3273764914537
2015/03/03,zult,986.4391088581028
2015/03/04,adt,967.2135390669445
2015/03/04,alc,988.8181848753817
2015/03/04,arf,965.8892547245144
2015/03/04,dlm,994.6800255053558
2015/03/04,dlmplus,995.6343093430977
2015/03/04,drg,982.1210212420063
2015/03/04,fel,925.4418046370544
2015/03/04,hat,990.2415516647566
2015/03/04,off,994.4389868807239
2015/03/04,par,945.4317166232942
2015/03/04,pol,958.6895442275375
2015/03/04,pro,877.9456728940872
2015/03/04,rsa,954.2884960331908
2015/03/04,sam,954.4599066981648
2015/03/04,trq,604.6261032489223
2015/03/04,zult,987.2831772747212
2015/03/05,adt,967.1489809834329
2015/03/05,alc,988.1558745320431
2015/03/05,arf,967.3488172761992
2015/03/05,dlm,994.4750634047712
2015/03/05,dlmplus,994.8572974187795
2015/03/05,drg,981.7701670597563
2015/03/05,fel,925.2821365051052
2015/03/05,hat,990.0260822089315
2015/03/05,off,994.3692955004351
2015/03/05,par,944.8127146848279
2015/03/05,pol,958.966595886624
2015/03/05,pro,873.65779293975
2015/03/05,rsa,951.3055822360001
2015/03/05,sam,951.4079170827204
2015/03/05,trq,592.8780413997715
2015/03/05,zult,987.4110653041025
2015/03/06,adt,967.8917531967434
2015/03/06,alc,988.8513308267163
2015/03/06,arf,968.3357995393396
2015/03/06,dlm,994.1980727068449
2015/03/06,dlmplus,993.8415002943169
2015/03/06,drg,982.4136127067852
2015/03/06,fel,927.6120997464889
2015/03/06,hat,990.5874560281272
2015/03/06,off,994.4217671002585
2015/03/06,par,947.5471441561111
2015/03/06,pol,959.121068684961
2015/03/06,pro,868.2124062199647
2015/03/06,rsa,939.1388795239062
2015/03/06,sam,948.843122091174
2015/03/06,trq,579.5712361771748
2015/03/06,zult,986.0358750016028
2015/03/07,adt,969.4651957495153
2015/03/07,alc,989.8421730761345
2015/03/07,arf,972.0984774820802
2015/03/07,dlm,993.2201816831914
2015/03/07,dlmplus,992.7174258920672
2015/03/07,drg,984.4319057468482
2015/03/07,fel,932.6609349361453
2015/03/07,hat,991.6018298927354
2015/03/07,off,994.4884975712965
2015/03/07,par,946.0990557249739
2015/03/07,pol,960.9697030113325
2015/03/07,pro,860.169288930456
2015/03/07,rsa,932.0492241840932
2015/03/07,sam,951.5945065486231
2015/03/07,trq,567.3042301825361
2015/03/07,zult,981.9078272313232
2015/03/08,adt,968.382164481211
2015/03/08,alc,989.7995011271768
2015/03/08,arf,974.5979468066629
2015/03/08,dlm,993.2564193551666
2015/03/08,dlmplus,992.6085973816797
2015/03/08,drg,984.3781612089563
2015/03/08,fel,932.1193900738992
2015/03/08,hat,991.513258983252
2015/03/08,off,994.2355009563643
2015/03/08,par,946.0455206721939
2015/03/08,pol,961.4795704932949
2015/03/08,pro,862.3991039086338
2015/03/08,rsa,928.8577895653715
2015/03/08,sam,951.0153180216611
2015/03/08,trq,568.3764516742467
2015/03/08,zult,983.6053194957934
2015/03/09,adt,967.0856496705671
2015/03/09,alc,988.5931247071738
2015/03/09,arf,974.4028169493347
2015/03/09,dlm,994.3353324576783
2015/03/09,dlmplus,993.0289616138567
2015/03/09,drg,982.3238957081707
2015/03/09,fel,928.0538143648865
2015/03/09,hat,990.0295643217878
2015/03/09,off,994.9627546016849
2015/03/09,par,948.5210822588278
2015/03/09,pol,959.7536441298668
2015/03/09,pro,863.9436309723999
2015/03/09,rsa,937.580007144375
2015/03/09,sam,950.2947433058922
2015/03/09,trq,585.0342307573725
2015/03/09,zult,986.4777947776764
2015/03/10,adt,965.3956060187764
2015/03/10,alc,987.8693286530254
2015/03/10,arf,975.7975339021319
2015/03/10,dlm,994.5366640404592
2015/03/10,dlmplus,992.7968281925223
2015/03/10,drg,981.7306229475348
2015/03/10,fel,925.8491409275721
2015/03/10,hat,989.3931157551062
2015/03/10,off,994.2028707660523
2015/03/10,par,946.8045474582697
2015/03/10,pol,958.5865449406762
2015/03/10,pro,860.9987418124999
2015/03/10,rsa,925.9561896312778
2015/03/10,sam,942.3081011834786
2015/03/10,trq,582.3130262798101
2015/03/10,zult,987.0270053261474
2015/03/11,adt,966.6713218224011
2015/03/11,alc,988.310729490708
2015/03/11,arf,976.7715067054504
2015/03/11,dlm,994.7115208072041
2015/03/11,dlmplus,993.0991858400307
2015/03/11,drg,982.0403990627127
2015/03/11,fel,925.1566664179217
2015/03/11,hat,989.8196926042622
2015/03/11,off,994.6146428833671
2015/03/11,par,947.3954234830657
2015/03/11,pol,957.3076311950326
2015/03/11,pro,863.2369342836726
2015/03/11,rsa,934.6340367936261
2015/03/11,sam,946.4169857544966
2015/03/11,trq,591.1778102360558
2015/03/11,zult,988.2161345327502
2015/03/12,adt,966.0834252507937
2015/03/12,alc,988.1329140673901
2015/03/12,arf,975.8637073662521
2015/03/12,dlm,994.5793414655964
2015/03/12,dlmplus,993.1850072272235
2015/03/12,drg,981.5106676134137
2015/03/12,fel,924.6245366943326
2015/03/12,hat,989.7646752070171
2015/03/12,off,994.4515489413267
2015/03/12,par,946.8744055005735
2015/03/12,pol,956.9299029622575
2015/03/12,pro,861.6550072115832
2015/03/12,rsa,938.1806452010937
2015/03/12,sam,946.8727634132231
2015/03/12,trq,596.5752439246925
2015/03/12,zult,987.9032132543524
2015/03/13,adt,967.3647724757834
2015/03/13,alc,988.3386426534382
2015/03/13,arf,975.1452999888913
2015/03/13,dlm,994.1943540507291
2015/03/13,dlmplus,992.8075383677524
2015/03/13,drg,981.2498569255059
2015/03/13,fel,924.5701945090017
2015/03/13,hat,990.0791966439572
2015/03/13,off,994.1305335270683
2015/03/13,par,946.5921394051788
2015/03/13,pol,957.0452286891937
2015/03/13,pro,861.0411168374778
2015/03/13,rsa,936.674890919719
2015/03/13,sam,941.4425890764604
2015/03/13,trq,605.5588923627444
2015/03/13,zult,987.8367980722787
2015/03/14,adt,969.3033124926292
2015/03/14,alc,989.787267287436
2015/03/14,arf,977.05810044427
2015/03/14,dlm,993.3279588093066
2015/03/14,dlmplus,991.3245014908539
2015/03/14,drg,984.505794187
2015/03/14,fel,931.314404638693
2015/03/14,hat,991.3973694932561
2015/03/14,off,994.5809932205412
2015/03/14,par,946.0596473270788
2015/03/14,pol,959.4616134248064
2015/03/14,pro,862.2707417530113
2015/03/14,rsa,926.9937445245365
2015/03/14,sam,935.1691899764332
2015/03/14,trq,601.8004219767096
2015/03/14,zult,984.8165261502205
2015/03/15,adt,968.8459137680775
2015/03/15,alc,989.9302631135652
2015/03/15,arf,977.8488359351616
2015/03/15,dlm,993.6014398769253
2015/03/15,dlmplus,991.2455344923133
2015/03/15,drg,984.7803245965737
